"","Method","Sequence","MSE"
"374","GP-UCB",14,2.67171136
"375","GP-UCB",15,2.66236416
"376","GP-UCB",16,2.59566784
"377","GP-UCB",17,2.54524736
"378","GP-UCB",18,2.48171072
"379","GP-UCB",19,2.47218816
"380","GP-UCB",20,2.45696192
"381","GP-UCB",21,2.42648
"382","GP-UCB",22,2.40972032
"383","GP-UCB",23,2.35925824
"384","GP-UCB",24,2.29512576
"385","GP-UCB",25,2.27864768
"386","GP-UCB",26,2.27996736
"387","GP-UCB",27,2.29172992
"388","GP-UCB",28,2.25590592
"389","GP-UCB",29,2.23034048
"390","GP-UCB",30,2.1878944
"391","GP-UCB",31,2.17462848
"392","GP-UCB",32,2.20544768
"393","GP-UCB",33,2.15819648
"394","GP-UCB",34,2.1633792
"395","GP-UCB",35,2.2098016
"396","GP-UCB",36,2.18030272
"397","GP-UCB",37,2.17255488
"398","GP-UCB",38,2.1294304
"399","GP-UCB",39,2.11183616
"400","GP-UCB",40,2.0870144
"401","GP-Thompson",1,3.83826048
"402","GP-Thompson",2,3.57900672
"403","GP-Thompson",3,3.53512192
"404","GP-Thompson",4,3.4554368
"405","GP-Thompson",5,3.4362272
"406","GP-Thompson",6,3.37408256
"407","GP-Thompson",7,3.35767232
"408","GP-Thompson",8,3.31721088
"409","GP-Thompson",9,3.29822784
"410","GP-Thompson",10,3.30583296
"411","GP-Thompson",11,3.3208
"412","GP-Thompson",12,3.29356928
"413","GP-Thompson",13,3.28194048
"414","GP-Thompson",14,3.25405696
"415","GP-Thompson",15,3.25323008
"416","GP-Thompson",16,3.201472
"417","GP-Thompson",17,3.23384704
"418","GP-Thompson",18,3.21299648
"419","GP-Thompson",19,3.18139328
"420","GP-Thompson",20,3.15168384
"421","GP-Thompson",21,3.15571776
"422","GP-Thompson",22,3.15742272
"423","GP-Thompson",23,3.14914688
"424","GP-Thompson",24,3.12188864
"425","GP-Thompson",25,3.09328128
"426","GP-Thompson",26,3.11392128
"427","GP-Thompson",27,3.10375168
"428","GP-Thompson",28,3.11711296
"429","GP-Thompson",29,3.1085824
"430","GP-Thompson",30,3.07825664
"431","GP-Thompson",31,3.07811968
"432","GP-Thompson",32,3.07620992
"433","GP-Thompson",33,3.0482272
"434","GP-Thompson",34,3.06693056
"435","GP-Thompson",35,3.02135936
"436","GP-Thompson",36,3.04224896
"437","GP-Thompson",37,3.03771008
"438","GP-Thompson",38,3.02788608
"439","GP-Thompson",39,2.99858176
"440","GP-Thompson",40,3.00079168
