,alpha,mu,weight
543,0.06,0.721781178497,0.49
544,0.06,0.704982251979,0.5
545,0.06,0.686579995266,0.51
546,0.06,0.663685445436,0.52
547,0.06,0.632847212441,0.53
548,0.06,0.591708058002,0.54
549,0.06,0.540798731544,0.55
550,0.06,0.484029666602,0.56
551,0.06,0.427539799587,0.57
552,0.06,0.378069274236,0.58
553,0.06,0.341648184649,0.59
554,0.06,0.32299666275,0.6
555,0.06,0.325762857712,0.61
556,0.06,0.353025872612,0.62
557,0.06,0.408047282026,0.63
558,0.06,0.495342561147,0.64
559,0.06,0.621479444587,0.65
560,0.06,0.794769641207,0.66
561,0.06,1.0235095624,0.67
562,0.06,1.31382283553,0.68
563,0.06,1.66768597278,0.69
564,0.06,2.08161239952,0.7
565,0.06,2.54646002827,0.71
566,0.06,3.04822880428,0.72
567,0.06,3.56945685004,0.73
568,0.06,4.09098276782,0.74
569,0.06,4.59395360407,0.75
570,0.06,5.06188878659,0.76
571,0.06,5.48245316185,0.77
572,0.06,5.84850909795,0.78
573,0.06,6.15815170198,0.79
574,0.06,6.41373734944,0.8
575,0.06,6.62018595315,0.81
576,0.06,6.78296596372,0.82
577,0.06,6.90622134255,0.83
578,0.06,6.99153064863,0.84
579,0.06,7.0377517242,0.85
580,0.06,7.0422046987,0.86
581,0.06,7.00359867619,0.87
582,0.06,6.92677859941,0.88
583,0.06,6.82650095257,0.89
584,0.06,6.72801013698,0.9
585,0.06,6.66410384466,0.91
586,0.06,6.67011089022,0.92
587,0.06,6.77886694357,0.93
588,0.06,7.01697624534,0.94
589,0.06,7.40268751385,0.95
590,0.06,7.94524510526,0.96
591,0.06,8.6453722321,0.97
592,0.06,9.49648002947,0.98
593,0.06,10.4862331379,0.99
594,0.07,23.7007968263,0.01
595,0.07,22.4004931974,0.02
596,0.07,21.0813517234,0.03
597,0.07,19.7478346247,0.04
598,0.07,18.4048925003,0.05
599,0.07,17.05851969,0.06
600,0.07,15.7162997369,0.07
601,0.07,14.3878380853,0.08
602,0.07,13.0849665794,0.09
603,0.07,11.8215873235,0.1
604,0.07,10.6130373049,0.11
605,0.07,9.47495136037,0.12
606,0.07,8.4217842092,0.13
607,0.07,7.46532476766,0.14
608,0.07,6.61356221308,0.15
609,0.07,5.87011708262,0.16
610,0.07,5.23424516629,0.17
611,0.07,4.7012823755,0.18
612,0.07,4.26335844657,0.19
613,0.07,3.91022745293,0.2
614,0.07,3.63010497496,0.21
615,0.07,3.41045796741,0.22
616,0.07,3.23875700141,0.23
617,0.07,3.10323281854,0.24
618,0.07,2.99363802235,0.25
619,0.07,2.90189767854,0.26
620,0.07,2.8223737012,0.27
621,0.07,2.75139665727,0.28
622,0.07,2.6859910688,0.29
623,0.07,2.62224818467,0.3
624,0.07,2.55407962624,0.31
625,0.07,2.47301951171,0.32
626,0.07,2.36954034668,0.33
627,0.07,2.23610223541,0.34
628,0.07,2.0717725544,0.35
629,0.07,1.88469457167,0.36
630,0.07,1.68767635329,0.37
631,0.07,1.49422762491,0.38
632,0.07,1.31601087814,0.39
633,0.07,1.16100010628,0.4
634,0.07,1.03319610972,0.41
635,0.07,0.933212015651,0.42
636,0.07,0.85912866712,0.43
637,0.07,0.807498724797,0.44
638,0.07,0.774231503716,0.45
639,0.07,0.754991264121,0.46
640,0.07,0.745217557486,0.47
641,0.07,0.740448160958,0.48
642,0.07,0.73696170281,0.49
643,0.07,0.731866084167,0.5
644,0.07,0.722250410772,0.51
645,0.07,0.704517544513,0.52
646,0.07,0.674810240595,0.53
647,0.07,0.630713758384,0.54
648,0.07,0.573389263626,0.55
649,0.07,0.508330799444,0.56
650,0.07,0.443709589101,0.57
651,0.07,0.387921736411,0.58
652,0.07,0.347986147933,0.59
653,0.07,0.328967229992,0.6
654,0.07,0.33424937012,0.61
655,0.07,0.366200739182,0.62
656,0.07,0.427129564071,0.63
657,0.07,0.520526798226,0.64
658,0.07,0.652115690571,0.65
659,0.07,0.829893707345,0.66
660,0.07,1.06243390942,0.67
661,0.07,1.35647317901,0.68
662,0.07,1.71449571467,0.69
663,0.07,2.13305601609,0.7
664,0.07,2.60256317889,0.71
665,0.07,3.10816012968,0.72
666,0.07,3.63112542467,0.73
667,0.07,4.15068201385,0.74
668,0.07,4.64622617485,0.75
669,0.07,5.09982009291,0.76
670,0.07,5.49848076842,0.77
671,0.07,5.83558490057,0.78
672,0.07,6.11091256303,0.79
673,0.07,6.32937944382,0.8
674,0.07,6.49886749829,0.81
675,0.07,6.62762392913,0.82
676,0.07,6.72171328316,0.83
677,0.07,6.78311270649,0.84
678,0.07,6.80914563898,0.85
679,0.07,6.79391858516,0.86
680,0.07,6.732421389,0.87
681,0.07,6.626884651,0.88
682,0.07,6.49220441052,0.89
683,0.07,6.35709769944,0.9
684,0.07,6.26003900653,0.91
685,0.07,6.24224517978,0.92
686,0.07,6.34119903025,0.93
687,0.07,6.58631105252,0.94
688,0.07,6.99678018614,0.95
689,0.07,7.58128319171,0.96
690,0.07,8.33891879669,0.97
691,0.07,9.26083554097,0.98
692,0.07,10.3321093507,0.99
693,0.08,27.2481183688,0.01
694,0.08,25.7615714281,0.02
695,0.08,24.2403264095,0.03
696,0.08,22.6915044656,0.04
697,0.08,21.1232153411,0.05
698,0.08,19.5449423525,0.06
699,0.08,17.9678904986,0.07
700,0.08,16.4052099357,0.08
701,0.08,14.8719984353,0.09
702,0.08,13.3849872718,0.1
703,0.08,11.96184576,0.11
