"","Method","Sequence","MSE"
"324","Tree-Thompson",4,3.5301
"325","Tree-Thompson",5,3.255
"326","Tree-Thompson",6,3.6001
"327","Tree-Thompson",7,3.5028
"328","Tree-Thompson",8,3.577
"329","Tree-Thompson",9,3.6743
"330","Tree-Thompson",10,3.2921
"331","Tree-Thompson",11,3.2452
"332","Tree-Thompson",12,3.6407
"333","Tree-Thompson",13,3.4111
"334","Tree-Thompson",14,3.3096
"335","Tree-Thompson",15,3.1836
"336","Tree-Thompson",16,3.5091
"337","Tree-Thompson",17,3.4118
"338","Tree-Thompson",18,3.5791
"339","Tree-Thompson",19,3.5973
"340","Tree-Thompson",20,3.6246
"341","Tree-Thompson",21,2.5781
"342","Tree-Thompson",22,1.9012
"343","Tree-Thompson",23,2.0783
"344","Tree-Thompson",24,1.9138
"345","Tree-Thompson",25,2.0391
"346","Tree-Thompson",26,1.8858
"347","Tree-Thompson",27,1.9215
"348","Tree-Thompson",28,1.9544
"349","Tree-Thompson",29,2.1168
"350","Tree-Thompson",30,1.8599
"351","Tree-Thompson",31,1.9383
"352","Tree-Thompson",32,1.8039
"353","Tree-Thompson",33,1.953
"354","Tree-Thompson",34,1.7815
"355","Tree-Thompson",35,1.701
"356","Tree-Thompson",36,1.7864
"357","Tree-Thompson",37,1.6674
"358","Tree-Thompson",38,1.6835
"359","Tree-Thompson",39,1.3797
"360","Tree-Thompson",40,1.4665
"361","GP-UCB",1,3.5973
"362","GP-UCB",2,3.2424
"363","GP-UCB",3,2.9428
"364","GP-UCB",4,2.7503
"365","GP-UCB",5,2.5683
"366","GP-UCB",6,2.4073
"367","GP-UCB",7,2.4213
"368","GP-UCB",8,2.3345
"369","GP-UCB",9,2.2918
"370","GP-UCB",10,2.2974
"371","GP-UCB",11,2.2862
"372","GP-UCB",12,2.2183
"373","GP-UCB",13,2.1819
"374","GP-UCB",14,2.1378
"375","GP-UCB",15,2.0881
"376","GP-UCB",16,2.0587
"377","GP-UCB",17,2.0118
"378","GP-UCB",18,2.0041
"379","GP-UCB",19,1.9901
"380","GP-UCB",20,1.9411
"381","GP-UCB",21,1.9614
"382","GP-UCB",22,1.9348
"383","GP-UCB",23,1.8592
"384","GP-UCB",24,1.8529
"385","GP-UCB",25,1.8872
"386","GP-UCB",26,1.8522
"387","GP-UCB",27,1.8725
"388","GP-UCB",28,1.8263
"389","GP-UCB",29,1.806
"390","GP-UCB",30,1.785
"391","GP-UCB",31,1.7689
"392","GP-UCB",32,1.7248
"393","GP-UCB",33,1.7458
"394","GP-UCB",34,1.6765
"395","GP-UCB",35,1.6828
"396","GP-UCB",36,1.6786
"397","GP-UCB",37,1.6114
"398","GP-UCB",38,1.6051
"399","GP-UCB",39,1.5806
"400","GP-UCB",40,1.533
"401","GP-Thompson",1,3.4433
"402","GP-Thompson",2,3.0562
"403","GP-Thompson",3,2.8224
"404","GP-Thompson",4,2.6558
"405","GP-Thompson",5,2.422
"406","GP-Thompson",6,2.3954
"407","GP-Thompson",7,2.4185
"408","GP-Thompson",8,2.3709
"409","GP-Thompson",9,2.2827
"410","GP-Thompson",10,2.2813
"411","GP-Thompson",11,2.2379
"412","GP-Thompson",12,2.2463
"413","GP-Thompson",13,2.2169
"414","GP-Thompson",14,2.2113
"415","GP-Thompson",15,2.177
"416","GP-Thompson",16,2.1945
"417","GP-Thompson",17,2.1889
"418","GP-Thompson",18,2.1945
"419","GP-Thompson",19,2.1532
"420","GP-Thompson",20,2.1812
"421","GP-Thompson",21,2.1602
"422","GP-Thompson",22,2.1637
"423","GP-Thompson",23,2.1378
"424","GP-Thompson",24,2.1336
"425","GP-Thompson",25,2.1308
"426","GP-Thompson",26,2.1504
"427","GP-Thompson",27,2.1364
"428","GP-Thompson",28,2.1231
"429","GP-Thompson",29,2.1308
"430","GP-Thompson",30,2.1203
"431","GP-Thompson",31,2.1252
"432","GP-Thompson",32,2.1385
"433","GP-Thompson",33,2.1217
"434","GP-Thompson",34,2.1035
"435","GP-Thompson",35,2.128
"436","GP-Thompson",36,2.1231
"437","GP-Thompson",37,2.1077
"438","GP-Thompson",38,2.1154
"439","GP-Thompson",39,2.1056
"440","GP-Thompson",40,2.1042
