"","Method","Sequence","MSE"
"291","Tree-UCB",11,2.715259
"292","Tree-UCB",12,2.589244
"293","Tree-UCB",13,2.8334
"294","Tree-UCB",14,2.702735
"295","Tree-UCB",15,2.431423
"296","Tree-UCB",16,2.771431
"297","Tree-UCB",17,2.507838
"298","Tree-UCB",18,2.692815
"299","Tree-UCB",19,2.589089
"300","Tree-UCB",20,2.334114
"301","Tree-UCB",21,2.293597
"302","Tree-UCB",22,2.095817
"303","Tree-UCB",23,2.033414
"304","Tree-UCB",24,2.324473
"305","Tree-UCB",25,2.58881
"306","Tree-UCB",26,2.454735
"307","Tree-UCB",27,2.762348
"308","Tree-UCB",28,2.472374
"309","Tree-UCB",29,2.777383
"310","Tree-UCB",30,3.061064
"311","Tree-UCB",31,2.858417
"312","Tree-UCB",32,2.419922
"313","Tree-UCB",33,2.934894
"314","Tree-UCB",34,2.874196
"315","Tree-UCB",35,2.657103
"316","Tree-UCB",36,2.598234
"317","Tree-UCB",37,2.641603
"318","Tree-UCB",38,2.451139
"319","Tree-UCB",39,2.431051
"320","Tree-UCB",40,2.374507
"321","Tree-Thompson",1,2.347382
"322","Tree-Thompson",2,3.044076
"323","Tree-Thompson",3,2.441746
"324","Tree-Thompson",4,2.79341
"325","Tree-Thompson",5,2.907242
"326","Tree-Thompson",6,3.161287
"327","Tree-Thompson",7,2.419302
"328","Tree-Thompson",8,2.443699
"329","Tree-Thompson",9,2.524671
"330","Tree-Thompson",10,2.814459
"331","Tree-Thompson",11,2.397726
"332","Tree-Thompson",12,2.547146
"333","Tree-Thompson",13,2.759713
"334","Tree-Thompson",14,2.530437
"335","Tree-Thompson",15,2.461462
"336","Tree-Thompson",16,2.579789
"337","Tree-Thompson",17,2.544015
"338","Tree-Thompson",18,2.656421
"339","Tree-Thompson",19,2.542496
"340","Tree-Thompson",20,2.699511
"341","Tree-Thompson",21,2.324225
"342","Tree-Thompson",22,3.038155
"343","Tree-Thompson",23,2.511434
"344","Tree-Thompson",24,2.386256
"345","Tree-Thompson",25,2.460067
"346","Tree-Thompson",26,2.223754
"347","Tree-Thompson",27,2.938304
"348","Tree-Thompson",28,2.719754
"349","Tree-Thompson",29,2.48372
"350","Tree-Thompson",30,2.894284
"351","Tree-Thompson",31,2.60338
"352","Tree-Thompson",32,1.984062
"353","Tree-Thompson",33,1.976281
"354","Tree-Thompson",34,1.619874
"355","Tree-Thompson",35,1.609954
"356","Tree-Thompson",36,1.410097
"357","Tree-Thompson",37,1.410562
"358","Tree-Thompson",38,1.463479
"359","Tree-Thompson",39,1.247409
"360","Tree-Thompson",40,1.386506
"361","GP-UCB",1,3.112648
"362","GP-UCB",2,2.16039
"363","GP-UCB",3,1.979164
"364","GP-UCB",4,1.847538
"365","GP-UCB",5,1.70097
"366","GP-UCB",6,1.681192
"367","GP-UCB",7,1.642876
"368","GP-UCB",8,1.491565
"369","GP-UCB",9,1.349616
"370","GP-UCB",10,1.371657
"371","GP-UCB",11,1.282563
